author;title;language
Meyer Joyce ; Formování vedoucího – základné predpoklady vedúceho podľa Božieho srdca ; cz  ;
Eldredge John, Eldredge Stasi ; Očarujúca ; sk  ;
Eldredge John ; Divoký v srdci  ; sk  ;
Eldredge John, Curtis Brent ; Posvätná romanca  ; sk  ;
Eldredge John ; Z chlapca kráľom  ; sk  ;
Eldredge John ; Neodolateľný REBEL  ; sk  ;
Bonnke Reinhard ; Čas sa kráti  ; sk  ;
Bonnke Reinhard ; Požehnání až do špiček bot – 12 skutočných životných príbehov ; cz  ;
Bonnke Reinhard ; Evangelizace ohněm – zapáliť tvoju lásku k strateným  ; cz  ;
Bonnke Reinhard ; Víra – napojení na Boží moc ; cz  ;
Bonnke Reinhard ; Škola ohně – efektívne získavanie stratených a evanjelizácia  ; cz  ;
Bevere John ; Satanova návnada – vyslobodenie zo smrteľnej pasce zranenia a pohoršenia  ; sk  ;
Bevere John ; Srdce v ohni – ako roznietiť vášeň k Bohu ; sk  ;
Bevere John ; Víťazstvo nad strachom – nenechajte sa manipulovať  ; sk  ;
Bevere John ; Pod Božou ochranou – podriaďovanie sa autoritám ; sk  ;
Bevere John ; Bližšie k Bohu – dôverný vzťah s Pánom  ; sk  ;
Bevere John ; Bázeň pred Hospodinem – objavte kľúč k dôvernému poznaniu Boha  ; cz  ;
Beverová Lisa ; Si viac než koľko vážiš – odhalenie lží a život v pravde  ; sk  ;
McDowell Josh ; Svedok – myslel si, že pozná pravdu. Tak prečo utekal?  ; sk  ;
McDowell Josh ; Tajomstvo milovania – ako dosiahnuť trvalý dôverný vzťah  ; sk  ;
McDowell Josh ; Viac ako tesár  ; sk  ;
McDowell Josh ; Nové dôkazy ktoré vyžadujú rozhodnutie  ; sk  ;
Harris Joshua ; Ani ň – jak chránit své srdce před smyslností ; cz  ;
Harris Joshua ; Vášeň pro církev – jak sed o ní zamilovat ; cz  ;
Harris Joshua ; My dva spolu – od přátelství k manželství ; cz  ;
Lucado Max  ; Boh sa priblížil  ; sk  ;
Lucado Max  ; Bez strachu – predstav si život bez strachu ; sk  ;
Chapman Gary  ; Pět jazyku lásky – nauč se hovořit jazykem lásky toho druhého ; cz  ;
Chapman Gary  ; To keby sme vedeli pred svadbou ; sk  ;
Harris Alex, Hariss Brett ; Ribiť ťažké veci – vzbura tínedžerov voči malým očakávaniam ; sk  ;
Harris Alex, Hariss Brett ; Ako začať robiť ťažké veci – robiť ťažké veci tam, kde práve si ; sk  ;
Dr.Cloud Henry, Dr.Townsend John  ; Hranice v chodzení – jak správne hledat životního partnera  ; cz  ;
Dr.Cloud Henry, Dr.Townsend John  ; Hranice – kedy povedať nie, kedy povedať áno  ; sk  ;
Kožlejová Maruška ; Ako chytať v žite ; sk  ;
Kožlejová Maruška, Valkučáková Anička ; Rozprávky ; sk  ;
Ekman Ulf ; Finanční svoboda  ; cz  ;
Ekman Ulf ; Naše svaté povolání ; cz  ;
Ekman Ulf ; Duchovní vúdce  ; cz  ;
Ekman Ulf ; Zrodený pre víťazstvo ; sk  ;
Strobel Lee ; Kauza Viera ; sk  ;
Strobel Lee ; Kauza Ježiš ; sk  ;
Strobel Lee ; Kauza Stvoriteľ ; sk  ;
Prince Derek  ; Výnimočná Božia láska ; sk  ;
Prince Derek  ; Boží plán pre tvoje peniaze ; sk  ;
Prince Derek  ; Zmierenie -tvoje stretnutie s Bohom ; sk  ;
Prince Charles  ; Jak říci jinak mám tě rád – 36 cest pro ty, co chtěji žít a milovat ; cz  ;
Radman Matt ; Tvárou k zemi ; sk  ;
Radman Matt ; Neuhasitelné uctívaní – zpět k srdci uctívaní ; cz  ;
Maxwell C. John ; 17 zákonov tímovej práce  ; sk  ;
Maxwell C. John ; 21 zákonov vodcovstva ; sk  ;
Nee Watchman  ; Víťazný život – základy normálneho kresťanského života  ; sk  ;
Nee Watchman  ; Jak studovat bibli – pratické rady , jak príjimat světlo z Božího slova ; cz  ;
Nee Watchman  ; Charakter Pánova pracovníka – jsme modelováni pro mistrovo požití ; cz  ;
Riversová Francine  ; Vykúpená láska – nadčasový príbeh odpustenia a bezpodmienečnej lásky  ; sk  ;
Riversová Francine  ; Dieťa zmierenia – príbeh o odvážnej láske k životu  ; sk  ;
Bennett A. Richard  ; Duchovný pokrm  ; sk  ;
Bennett A. Richard  ; Hľadanie Boha ; sk  ;
Hagin. E. Kenneth ; Sedem vecí, ktoré by si mal vedieť o božskom uzdravení  ; sk  ;
Hagin. E. Kenneth ; Služobné dary ; sk  ;
